City id,City name,Latitude,Temperature in F,Humidity,Cloudiness,Wind Speed (mph)
1486910,Komsomolskiy,67.5537,45.38,83,0,1.7
4030556,Rikitea,-23.1203,74.18,79,9,17.18
3870282,Talcahuano,-36.7167,55.4,82,75,11.41
2175403,Bluff,-23.58,53.3,56,53,6.51
3887127,Iquique,-20.2209,62.6,67,0,19.46
2163355,Hobart,-42.8826,41.34,75,75,6.93
3833367,Ushuaia,-54.807,39.2,80,75,6.93
2110227,Butaritari,3.0707,84.08,75,31,10.54
5855927,Hilo,19.7072,79.43,61,75,6.93
3378644,Georgetown,6.8026,84.04,74,40,6.93
3874787,Punta Arenas,-53.1627,41.0,100,90,14.99
2012956,Yerbogachen,61.2767,56.18,79,25,7.0
5914132,Campbell River,50.0163,71.31,64,75,6.93
3102488,Orlik,53.9541,56.05,93,75,2.24
3833859,Barrow,-38.3131,47.72,74,0,7.67
6201424,Mataura,-46.1928,50.0,77,100,5.99
2304548,Anloga,5.7947,77.0,88,20,9.17
1283285,Jumla,29.2754,55.28,94,100,1.81
5106834,Albany,42.6512,75.65,100,40,11.41
4501427,Port Elizabeth,39.3134,86.9,55,20,8.05
6693679,Gizo,31.8041,76.12,74,20,9.17
2157698,Mildura,-34.1848,41.0,86,0,8.05
1182159,Bulri,24.8667,85.16,66,91,22.19
3461958,Guanhaes,-18.775,60.86,79,0,3.71
3026644,Souillac,45.6006,66.7,77,0,9.17
4188985,Columbus,32.461,85.26,62,40,6.93
2094342,Kavieng,-2.5745,82.64,74,100,12.33
2122090,Pevek,69.7028,41.78,85,52,8.66
1106677,Bambous Virieux,-20.3428,67.44,64,20,5.82
3372707,Ribeira Grande,38.5167,72.56,84,6,11.3
3369157,Cape Town,-33.929,51.78,87,0,18.23
5983720,Iqaluit,63.7494,60.42,44,40,16.11
3838859,Rio Gallegos,-51.6227,41.0,86,40,3.36
6533368,Moranbah,-22.0031,54.38,53,59,5.3
2075265,Busselton,-33.6445,42.98,84,100,16.49
2208248,Kaitangata,-46.2818,52.0,50,78,4.0
4696310,Harper,30.2999,91.56,38,40,9.17
